endTime,artistName,trackName,msPlayed
2022-01-06 10:44,kokoro,Solstice,171877
2022-01-06 10:47,xander.,Cold Coffee,192889
2022-01-06 10:50,Rudy Raw,Warm Atmos,156608
2022-01-06 10:52,tomcbumpz,introspection,136532
2022-01-06 10:55,Blue Wednesday,Birds Eye View,168108
2022-01-06 10:57,Phlocalyst,Sparkling Brooks,164614
2022-01-06 11:00,Towerz,a bridge between,140086
2022-01-06 11:02,Sleepermane,Out Of Reach,121825
2022-01-06 11:04,TABAL,Time To Dream,163830
2022-01-06 11:07,Bcalm,Just Breathe,130179
2022-01-06 11:09,Kurt Stewart,Nightfall,122789
2022-01-06 11:11,Living Room,Waving,115896
2022-01-06 11:13,Laffey,Infinite,148235
2022-01-06 11:15,Tibeauthetraveler,Scenery,130554
2022-01-06 11:18,DLJ,Lost Stars,169761
2022-01-06 11:21,Kurt Stewart,Old Cars,150309
2022-01-06 11:23,l'Outlander,Massa,174338
2022-01-06 11:26,Tenno,Healing River,172391
2022-01-06 13:13,Living Room,Prayer,5617
2022-01-06 21:22,SEVENTEEN,Lean On Me - Japanese ver.,66020
2022-01-06 21:25,SEVENTEEN,Adore U,188089
2022-01-06 21:29,SEVENTEEN,Oh My!,195004
2022-01-06 21:32,SEVENTEEN,Left & Right,201773
2022-01-06 21:35,SEVENTEEN,All My Love,201946
2022-01-06 21:39,Trap Remix Guys,Star Wars Cantina Band - Trap Remix,9845
2022-01-06 21:39,SEVENTEEN,Jam Jam,107011
2022-01-06 21:43,NCT U,Universe (Let's Play Ball),231466
2022-01-06 21:45,TOMORROW X TOGETHER,Cat & Dog (English Version),106115
2022-01-06 21:46,TOMORROW X TOGETHER,Cat & Dog,97706
2022-01-06 21:47,TOMORROW X TOGETHER,Frost,8126
2022-01-06 21:47,TOMORROW X TOGETHER,9 and Three Quarters (Run Away),33868
2022-01-06 21:50,NCT 127,Favorite (Vampire),215586
2022-01-06 21:54,NCT 127,Sticker,227773
2022-01-06 21:56,NCT 127,Kick It,952
2022-01-06 21:56,NCT 127,Cherry Bomb,85124
2022-01-06 21:57,NCT 127,無限的我 무한적아; LIMITLESS,84450
2022-01-06 21:58,NCT 127,Baby Don’t Like It 나쁜 짓,18158
2022-01-06 23:43,NCT 127,Baby Don’t Like It 나쁜 짓,124698
2022-01-06 23:45,NCT 127,Baby Don’t Like It 나쁜 짓,141025
2022-01-06 23:49,NCT DREAM,BOOM,195080
2022-01-06 23:49,NCT DREAM,Ridin',32003
2022-01-06 23:53,NCT U,"일곱 번째 감각 The 7th Sense (Sung by TAEYONG, MARK, JAEHYUN, DOYOUNG, TEN)",214035
2022-01-06 23:56,NCT,BOSS,202958
2022-01-06 23:56,NCT,TOUCH,2133
2022-01-07 00:00,NCT U,90's Love,213666
2022-01-07 00:02,WayV,Action Figure,134206
2022-01-07 01:51,WayV,Action Figure,65464
2022-01-07 01:55,WayV,Love Talk - English Version,232150
2022-01-07 01:58,WayV,Moonwalk,222686
2022-01-07 02:01,ENHYPEN,Upper Side Dreamin’,189402
2022-01-07 02:05,TOMORROW X TOGETHER,Cat & Dog,187573
2022-01-07 02:08,SEVENTEEN,Left & Right,201773
2022-01-07 02:11,SEVENTEEN,Love Letter,178916
2022-01-07 02:14,SEVENTEEN,Crush,169560
2022-01-07 02:18,SEVENTEEN,Don't listen in secret,237552
2022-01-07 02:25,SEVENTEEN,MY I,184136
2022-01-07 02:29,SEVENTEEN,Hit Song,223196
2022-01-07 02:32,SEVENTEEN,Light a Flame,189586
2022-01-07 02:36,SEVENTEEN,To you,225573
2022-01-07 02:39,SEVENTEEN,Lean On Me,204722
2022-01-07 02:42,SEVENTEEN,Snap Shoot,175826
2022-01-07 02:44,SEVENTEEN,Adore U (Vocal Team Ver.),109690
2022-01-07 02:47,SEVENTEEN,Pretty U,207300
2022-01-07 02:48,SEVENTEEN,Wave,3520
2022-01-07 02:48,SEVENTEEN,All My Love,2431
2022-01-07 02:48,SEVENTEEN,What's Good,42652
2022-01-07 02:51,SEVENTEEN,Adore U,2563
2022-01-07 02:51,SEVENTEEN,Adore U,184511
2022-01-07 03:08,SEVENTEEN,CLAP,10279
2022-01-07 05:26,Peder B. Helland,Spring,208976
2022-01-07 05:29,Peder B. Helland,Happy Times (Radio Edit),174659
2022-01-07 05:31,Peder B. Helland,Sunny Mornings (Radio Edit),136241
2022-01-07 05:34,Peder B. Helland,My Rose (Radio Edit),215061
2022-01-07 05:35,Peder B. Helland,Morning Whisper (Radio Edit),54062
2022-01-07 05:36,Nils Frahm,All Numbers End,9503
2022-01-07 05:36,Peder B. Helland,Early in the Morning (Radio Edit),29663
2022-01-07 05:41,Claude Debussy,"Suite Bergamasque, L. 75: III. Clair de lune",298466
2022-01-07 05:45,Frédéric Chopin,"Nocturne in E-Flat Major, Op. 9, No. 2 ""Andante""",234058
2022-01-07 05:50,Wolfgang Amadeus Mozart,"Mozart / Arr. Grieg for Two Pianos: Piano Sonata No. 16 in C Major, K. 545 ""Semplice"": I. Allegro (Live)",283938
2022-01-07 05:55,Ludwig van Beethoven,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27, No. 2 ""Moonlight"": I. Adagio sostenuto",360061
2022-01-07 05:59,Yiruma,River Flows in You,218750
2022-01-07 06:04,Felix Mendelssohn,"Lieder ohne Worte (Songs without Words), Book 2, Op. 30: No. 7 in E-Flat Major, Op. 30, No. 1",281331
2022-01-07 06:07,Arvo Pärt,Für Alina,186204
2022-01-07 06:08,Johannes Brahms,"16 Waltzes, Op. 39: No. 15 In A Flat Major",94653
2022-01-07 06:12,Sergei Rachmaninoff,"Variations on a Theme of Corelli, Op. 42: Variation 14. Andante (come prima)",183033
2022-01-07 06:17,Frédéric Chopin,"Prelude in D-Flat Major, Op. 28: No. 15. ""Raindrop""",359707
2022-01-07 06:21,Lang Lang,"Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59",206638
2022-01-07 06:24,Jon Winterstein,Isfahan,183219
2022-01-07 06:28,Wolfgang Amadeus Mozart,"Mozart: Piano Sonata No. 11 in A Major, Op. 6 No. 2, K. 331 ""Alla Turca"": III. Allegretto. Turkish March",215197
2022-01-07 06:32,Erik Satie,Gnossienne No. 1,297036
2022-01-07 06:33,Franz Schubert,"Valse Noble No. 8 en La Majeur, D. 969",58963
2022-01-07 06:36,ildio,transience,155307
2022-01-07 06:38,Yann Tiersen,Comptine d'un autre été (l'après-midi) - [Portrait Version],138502
2022-01-07 06:40,Muzio Clementi,"Sonatina No. 1 in C Major, Op. 36: II. Andante",91909
2022-01-07 06:42,Pyotr Ilyich Tchaikovsky,"Nutcracker Suite, Op. 71a, TH. 35 (Arr. For Piano 4-Hands): IIa. Danses caractéristiques. Marche: Tempo di marcia viva",136368
2022-01-07 06:45,Frédéric Chopin,"24 Préludes, Op. 28: No. 4 in E Minor",152049
2022-01-07 06:49,Franz Liszt,"6 Consolations, S. 172: No. 3 in D-Flat Major (Lento, placido)",255036
2022-01-07 06:50,Birdy,Chopin Waltz in A Minor - Interlude,45620
2022-01-07 06:54,Scott Joplin,The Entertainer,234176
2022-01-07 06:57,Gabriel Fauré,"Dolly, Op. 56: 1. Berceuse",176718
2022-01-07 06:58,Jean-Philippe Rameau,"Rigaudons I, II & Double",62483
2022-01-07 07:00,Frédéric Chopin,"Étude No. 13 in A-Flat Major, Op. 25, No. 1 ""Harp Study""",151227
2022-01-07 07:01,Robert Schumann,"Album für die Jugend, Op. 68: No. 5. Stückchen",80149
2022-01-07 07:05,Robert Schumann,"Kinderszenen, Op. 15: No. 7 in F Major, Träumerei",188605
2022-01-07 07:08,Edvard Grieg,"Peer Gynt Suite No. 1, Op. 46: Morning Mood - Arr. for Piano",233404
2022-01-07 07:09,Half Moon Run,Throes,54550
2022-01-07 07:12,Frédéric Chopin,"24 Préludes, Op. 28: No. 20 in C Minor",146750
2022-01-07 07:16,Joseph Haydn,"Sonata No. 13, Hob. XVI:6: Sonata No. 13, Hob. XVI:6: III. Adagio",282912
2022-01-07 07:20,Jean Sibelius,"6 Impromptus, Op. 5: Impromptu V",231912
2022-01-07 07:24,Sergei Rachmaninoff,"10 Preludes, Op. 23: No. 5 in G Minor: Alla marcia",238480
2022-01-07 07:27,Muriël Bostdorp,Nocturne,151753
2022-01-07 07:28,Johannes Brahms,"Brahms: Waltz, Op 39, No. 3",53194
2022-01-07 07:29,Frédéric Chopin,Variations sur un thème de Chopin: I. Tranquillo e molto amabile,57293
2022-01-07 07:30,Johann Sebastian Bach,"Prelude And Fugue In C-Sharp Major, BWV 848: Prelude",72335
2022-01-07 07:35,Chilly Gonzales,Armellodie,281137
2022-01-07 07:35,Felix Mendelssohn,"Lieder ohne Worte, Op. 19, No. 1",58441
2022-01-07 18:50,SEVENTEEN,Fear,175214
2022-01-07 18:53,SEVENTEEN,Pinwheel,219053
2022-01-07 18:57,SEVENTEEN,TRAUMA,213297
2022-01-07 19:00,SEVENTEEN,Adore U,186673
2022-01-07 19:03,SEVENTEEN,Anyone,176934
2022-01-07 19:06,SEVENTEEN,Wave,184627
2022-01-07 19:10,SEVENTEEN,Pretty U,207319
